"AffyID"	"SYMBOL"	"ND_1_CD14_TNF_90_133Plus_2.CEL"	"ND_2_CD14_TNF_90_133Plus_2.CEL"
"1552370_at"	"C4orf33"	"6.96805862349687"	"7.03495864417898"
"1552372_at"	"C4orf33"	"6.63618137172171"	"6.57061202257536"
"1552373_s_at"	"C4orf33"	"6.6291117265313"	"6.78787560142735"
"1552375_at"	"ZNF333"	"7.28054127109312"	"6.89455331741465"
"1552377_s_at"	"TVP23C"	"7.42926704397218"	"7.31278825022417"
"1552378_s_at"	"RDH10"	"6.96400416114653"	"7.17006748206427"
"1552379_at"	"RDH10"	"6.53662583789774"	"6.72633171899655"
"1552381_at"	"SRSF12"	"6.90885799162345"	"7.25404892702294"
"1552383_at"	"FAM71A"	"7.84232302791109"	"8.49553373277365"
"1552384_a_at"	"FAM71A"	"6.97685743665983"	"7.63778997235277"
"1552386_at"	"GAPT"	"9.06924633755902"	"6.92982608985442"
"1552388_at"	"SCUBE1"	"7.28059429709913"	"7.72559523243172"
"1552389_at"	"ERICH5"	"6.94931977240928"	"7.35908243903449"
"1552390_a_at"	"ERICH5"	"6.58936872774168"	"6.73892835240092"
"1552391_at"	"CCDC185"	"7.14241697557241"	"7.85759015615651"
"1552393_at"	"ENTHD1"	"6.54521329483969"	"6.62812475730375"
"1552394_a_at"	"ENTHD1"	"6.80349642483679"	"6.83568617241337"
"1552395_at"	"TSSK3"	"7.83152931988746"	"7.94081525340291"
"1552396_at"	"WFDC6"	"6.92897811779319"	"7.66702256911026"
"1552398_a_at"	"CLEC12A"	"8.62580726628777"	"7.88605863088932"
"1552399_a_at"	"BRF1"	"6.66034458836403"	"7.54348574407639"
"1552400_a_at"	"C15orf27"	"7.00522039888835"	"7.05874251951114"
"1552401_a_at"	"BACH1"	"6.76647566807187"	"7.36197786721647"
"1552402_at"	"CALML6"	"6.92866100374088"	"7.33032553831047"
"1552405_at"	"NLRP5"	"6.85966382582292"	"7.28950684067717"
"1552408_at"	"ODF4"	"6.80690269841808"	"6.95157702567304"
"1552409_a_at"	"ODF4"	"7.27934616306524"	"7.202661681609"
"1552410_at"	"CLEC4F"	"7.0737638981314"	"7.31818436422484"
"1552411_at"	"DEFB106A"	"7.3024088720026"	"6.92202164101035"
"1552412_a_at"	"DEFB106A"	"6.59506387424645"	"6.99856347316477"
"1552414_at"	"WFDC9"	"6.82203145538214"	"7.08508987540936"
"1552415_a_at"	"WFDC9"	"6.81632468284327"	"6.9356498367312"
"1552417_a_at"	"NEDD1"	"6.82442755258529"	"6.82423068669137"
"1552418_at"	"TTLL10"	"7.31398539030357"	"7.47854964994876"
"1552419_s_at"	"TTLL10"	"6.9493309100112"	"7.00116168054156"
"1552421_a_at"	"CALR3"	"6.90166287209095"	"7.42418626692516"
"1552422_at"	"C10orf25"	"6.90100880720261"	"7.34288627418885"
"1552423_at"	"ETV3"	"7.5033048573136"	"6.91397781934401"
"1552424_at"	"KLHL10"	"6.81792880909312"	"7.12308147961423"
"1552425_a_at"	"KLHL10"	"7.13136903531759"	"7.12322320253993"
"1552426_a_at"	"TM2D3"	"8.64095490211624"	"7.31578842613985"
"1552427_at"	"ZNF485"	"6.63366231663659"	"6.68866575857741"
"1552430_at"	"WDR17"	"6.61286934736583"	"6.81471131521065"
"1552432_at"	"MFSD6L"	"7.35269625733448"	"7.52473825737949"
"1552436_a_at"	"CDH23"	"7.27704804770625"	"7.55376122089242"
"1552438_a_at"	"ANKAR"	"6.67003925382421"	"6.6214399644606"
"1552439_s_at"	"MEGF11"	"6.78318897092372"	"6.92386198776144"
"1552440_at"	"GPR182"	"7.01317015905314"	"7.50006847833437"
"1552445_a_at"	"ESX1"	"6.7645990328402"	"6.67139171452573"
"1552448_a_at"	"FAM167A-AS1"	"6.69582814672518"	"6.83748757893193"
"1552449_a_at"	"SCGB1C1"	"6.98992235978549"	"7.29224551389171"
"1552450_a_at"	"DNAJC5G"	"7.11559432483869"	"7.18162945651016"
"1552452_at"	"WDR88"	"6.88046127288635"	"6.86011666093575"
"1552453_a_at"	"WDR88"	"6.81449587553911"	"7.17318642630645"
"1552455_at"	"PRUNE2"	"6.61944679916961"	"7.15848418476698"
"1552456_a_at"	"MBD3L2"	"6.92870274460745"	"7.15521394708753"
"1552457_a_at"	"ADAMTSL1"	"6.77496566737992"	"6.86463757852521"
"1552458_at"	"MBD3L1"	"6.74107583443582"	"7.32432058030247"
"1552459_a_at"	"MBD3L1"	"7.05366074168198"	"7.86117944822491"
"1552461_at"	"FAM46D"	"6.6545211201189"	"6.74207999279707"
"1552463_at"	"SERPINB11"	"6.75012178512942"	"7.23797301686848"
"1552466_x_at"	"LINC00161"	"6.68554363364071"	"6.95934611877045"
"1552467_at"	"DSCR10"	"7.48935917769547"	"7.65659283280812"
"1552468_a_at"	"DSCR10"	"7.11926293256536"	"7.24397254395221"
"1552470_a_at"	"ABHD11"	"6.7781904129327"	"7.12866315828016"
"1552472_a_at"	"ACAP2"	"7.78153128561535"	"7.09553370116682"
"1552473_at"	"GAMT"	"7.40763976221014"	"7.35148465324222"
"1552474_a_at"	"GAMT"	"7.4993235770592"	"7.74691996333791"
"1552476_s_at"	"PLCD3"	"7.0657117241251"	"7.14996591397091"
"1552477_a_at"	"IRF6"	"6.65468305745691"	"6.89290452653473"
"1552478_a_at"	"IRF6"	"6.75756870421352"	"7.05158311579337"
"1552480_s_at"	"PTPRC"	"6.56994722698802"	"6.67075921720782"
"1552481_s_at"	"MAN1A2"	"6.86288550443393"	"6.90287959987238"
"1552482_at"	"RAPH1"	"6.81449587553911"	"6.82574429788308"
"1552484_at"	"SMCR8"	"7.18520715692965"	"7.61995305308387"
"1552485_at"	"LACTB"	"8.48619117383617"	"6.86858769790509"
"1552486_s_at"	"LACTB"	"8.68817220219023"	"7.71894636138579"
"1552487_a_at"	"BNC1"	"6.55067612246971"	"6.61431327441574"
"1552489_s_at"	"MPP4"	"6.67970937849888"	"7.01522034411034"
"1552490_at"	"LACE1"	"6.74262476023313"	"6.84344058698616"
"1552491_at"	"IDI2"	"7.11554594512636"	"7.39937678283227"
"1552493_s_at"	"CYP11B1"	"7.21220349434296"	"7.39846651772625"
"1552494_at"	"TAF8"	"7.29690161888625"	"7.83563192507498"
"1552496_a_at"	"COBL"	"6.8625286602449"	"7.4011349075621"
"1552497_a_at"	"SLAMF6"	"6.89990524268049"	"6.83325866735226"
"1552498_at"	"ZSCAN20"	"7.08280766416114"	"7.31649778693856"
"1552499_a_at"	"ZSCAN20"	"6.79419068261569"	"6.95934149329337"
"1552501_a_at"	"GPBAR1"	"7.57080353682313"	"7.19207919978117"
"1552502_s_at"	"RHBDL2"	"6.61047428787775"	"6.76081933074196"
"1552503_at"	"FRAS1"	"7.07122349934799"	"7.71503962594164"
"1552504_a_at"	"BRSK1"	"6.98703787923252"	"7.1743278677998"
"1552506_at"	"CRB2"	"6.95943385015326"	"7.12372266772186"
"1552507_at"	"KCNE4"	"7.01013318599853"	"7.26818851531272"
"1552508_at"	"KCNE4"	"6.75098839331041"	"7.08440976526799"
"1552509_a_at"	"CD300LG"	"6.66255726213979"	"6.76525340076811"
"1552510_at"	"SLC34A3"	"8.05835332229179"	"8.36676089250474"
"1552511_a_at"	"CPA6"	"6.6319654467225"	"7.08729521916586"
"1552514_at"	"WBP2NL"	"6.63618137172171"	"6.88601333303588"
"1552515_at"	"HIPK1"	"6.81853340941331"	"7.10499690964074"
"1552516_a_at"	"HIPK1"	"6.92071217594903"	"7.58068885244215"
"1552518_s_at"	"MTBP"	"6.69488676725348"	"6.73430755861629"
"1552519_at"	"ACVR1C"	"6.90616683727699"	"6.79094802963531"
"1552520_at"	"TMEM74"	"6.68816127497435"	"6.6724167437706"
"1552521_a_at"	"TMEM74"	"6.54377401770712"	"6.62616436775652"
"1552522_at"	"TIGD4"	"6.68037590290793"	"6.74813191254827"
"1552523_a_at"	"TIGD4"	"6.90437258558495"	"7.50172892206229"
"1552524_at"	"ART5"	"7.11260559087988"	"7.36630897873166"
"1552526_at"	"FAM71C"	"6.91964392584932"	"7.18552271323513"
"1552528_at"	"LINC01547"	"7.56250744341568"	"7.79106685786812"
"1552531_a_at"	"NLRP11"	"6.72394720115181"	"6.9350729759659"
"1552532_a_at"	"ATP6V1C2"	"6.90599787563661"	"7.13286483833494"
"1552535_at"	"CLDN19"	"6.8840313805677"	"7.30665283410408"
"1552536_at"	"VTI1A"	"6.71987112059796"	"6.92750096503042"
"1552538_a_at"	"KIF6"	"6.68387394449889"	"7.19038338484228"
"1552540_s_at"	"IQCD"	"7.2880555006822"	"7.50317567052587"
"1552541_at"	"TAGAP"	"7.76813746679874"	"7.61647737816987"
"1552542_s_at"	"TAGAP"	"7.49519038435195"	"7.16156813703679"
"1552543_a_at"	"STON2"	"6.80023744053433"	"7.25987183767645"
"1552544_at"	"SERPINA12"	"6.9975888481023"	"7.16851496503579"
"1552546_a_at"	"LETM2"	"6.909473181574"	"7.09744700835738"
"1552548_at"	"BSND"	"7.27694331697108"	"7.54546968707888"
"1552549_a_at"	"BSND"	"7.2997467110698"	"7.93757488432402"
"1552552_s_at"	"CLEC4C"	"6.89083532135952"	"6.81201349402614"
"1552553_a_at"	"NLRC4"	"8.24458805404178"	"7.34772702218753"
"1552554_a_at"	"NLRC4"	"6.87113505687472"	"6.93104774760021"
"1552555_at"	"PRSS36"	"7.08647056156239"	"7.57954975620918"
"1552557_a_at"	"ZDHHC15"	"6.80206891915825"	"6.8843689929476"
"1552558_a_at"	"RAI1"	"7.3844720643117"	"7.80886421109223"
"1552559_a_at"	"CDK15"	"7.08788513074112"	"7.29394291190063"
"1552562_at"	"ZNF570"	"6.81723625999875"	"6.91157884254827"
"1552563_a_at"	NA	"6.6545211201189"	"6.62440527398336"
"1552564_at"	"NUDT9P1"	"6.87543156048642"	"6.98966022224294"
"1552566_at"	"BTBD16"	"6.71008192653471"	"7.38917918443545"
"1552568_at"	"RTP3"	"7.14995540111623"	"7.88114136799626"
"1552569_a_at"	"RTP3"	"6.94649800253075"	"6.92402490564367"
"1552570_at"	"TSPEAR"	"6.75292766493785"	"6.91714265983692"
"1552572_a_at"	"MIPOL1"	"6.53720883367994"	"6.69405706546728"
"1552573_s_at"	"MIPOL1"	"6.56083437297181"	"6.66922249378902"
"1552575_a_at"	"C6orf141"	"6.73534966786296"	"6.84716445852889"
"1552576_at"	"ALMS1P"	"7.17797290412253"	"7.90076042645282"
"1552578_a_at"	"MYO3B"	"6.61514247626328"	"6.9345153824557"
"1552579_a_at"	"ADAM21"	"6.99844051853764"	"7.04840311003681"
"1552580_at"	"TRIML2"	"7.09814665206975"	"7.46719734392541"
"1552582_at"	"ABCC13"	"6.71512733785037"	"7.21947687470099"
"1552583_s_at"	"ABCC13"	"6.77047481810638"	"6.83340407188199"
"1552584_at"	"IL12RB1"	"8.69934437419413"	"7.74995534752542"
"1552585_s_at"	"GTF2A1L"	"6.78117666999804"	"6.79236489630389"
"1552586_at"	"TRPV3"	"6.94325336152144"	"7.55129856567583"
"1552587_at"	"CNBD1"	"6.67772665518193"	"6.77908540437298"
"1552588_a_at"	"CNBD1"	"6.64916305110608"	"6.66790271938532"
"1552590_a_at"	"ABCC12"	"6.73579201094988"	"6.75065856825551"
"1552592_at"	"MMP21"	"6.80121865790623"	"6.86471799792853"
"1552594_at"	"TMEM190"	"7.48520013432021"	"7.54264861477818"
"1552596_at"	"GAS2L2"	"7.57599828459546"	"7.64357435704506"
"1552598_at"	"KCNG4"	"6.94182096118226"	"7.46586991502546"
"1552599_at"	"PXT1"	"6.65521559923835"	"6.7013039690078"
"1552602_at"	"CACNG5"	"6.89351890996446"	"7.73308381257859"
"1552604_at"	"LINC00308"	"7.18801565420949"	"7.20580198918791"
"1552605_s_at"	"LINC00308"	"7.02048981743646"	"7.30031762761301"
"1552607_at"	"FAM223B"	"7.34006545041902"	"7.28028195009103"
"1552608_at"	"WFDC11"	"6.646262507113"	"7.38427063686005"
"1552609_s_at"	"IFNL3"	"6.80358331201447"	"7.03489063455641"
"1552610_a_at"	"JAK1"	"7.91362220003354"	"7.49001640336752"
"1552611_a_at"	"JAK1"	"7.50782442427781"	"7.33556011027513"
"1552612_at"	"CDC42SE2"	"8.44709714908424"	"6.79588974118384"
"1552613_s_at"	"CDC42SE2"	"7.92972455311568"	"7.44394150884383"
"1552615_at"	"ACACB"	"7.76971923174427"	"8.0526241971731"
"1552616_a_at"	"ACACB"	"7.06517020044078"	"7.54158314875006"
"1552617_a_at"	"RFWD2"	"8.35662549246245"	"7.36685513670027"
